HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Wigan,Nott'm Forest,0.00,0.00,0.00,0.00,13.00,9.00,2.00,2.00,19.00,19.00,6.00,5.00,1.00,3.00,0.00,0.00
Fulham,Bolton,4.00,0.00,2.00,0.00,16.00,8.00,7.00,0.00,8.00,8.00,6.00,8.00,0.00,2.00,0.00,0.00
Leeds,Reading,0.00,0.00,0.00,0.00,16.00,13.00,1.00,4.00,12.00,14.00,3.00,7.00,3.00,4.00,0.00,0.00
Wolves,Huddersfield,1.00,3.00,0.00,2.00,23.00,14.00,5.00,8.00,8.00,7.00,7.00,2.00,1.00,0.00,0.00,0.00
Blackpool,Cardiff,1.00,0.00,0.00,0.00,12.00,19.00,2.00,2.00,21.00,10.00,1.00,8.00,2.00,2.00,0.00,0.00
Blackburn,Huddersfield,0.00,0.00,0.00,0.00,20.00,13.00,5.00,1.00,11.00,11.00,5.00,9.00,2.00,1.00,0.00,0.00
Bolton,Bournemouth,1.00,2.00,0.00,0.00,14.00,13.00,7.00,6.00,16.00,7.00,6.00,7.00,3.00,1.00,0.00,1.00
Brentford,Reading,3.00,1.00,2.00,0.00,12.00,18.00,6.00,5.00,14.00,11.00,5.00,15.00,2.00,3.00,0.00,0.00
Charlton,Birmingham,1.00,1.00,1.00,0.00,8.00,15.00,3.00,3.00,11.00,5.00,1.00,4.00,0.00,1.00,0.00,0.00
Derby,Millwall,0.00,0.00,0.00,0.00,10.00,11.00,1.00,2.00,15.00,12.00,12.00,7.00,4.00,4.00,0.00,0.00
Leeds,Sheffield Weds,1.00,1.00,0.00,0.00,10.00,11.00,4.00,3.00,17.00,18.00,7.00,1.00,3.00,4.00,0.00,0.00
Middlesbrough,Fulham,2.00,0.00,0.00,0.00,14.00,9.00,5.00,2.00,8.00,5.00,8.00,4.00,1.00,1.00,0.00,0.00
Norwich,Rotherham,1.00,1.00,0.00,1.00,27.00,6.00,6.00,3.00,9.00,12.00,12.00,3.00,1.00,1.00,0.00,0.00
Watford,Brighton,1.00,1.00,0.00,0.00,12.00,15.00,3.00,2.00,18.00,14.00,6.00,7.00,4.00,2.00,0.00,0.00
Wolves,Wigan,2.00,2.00,1.00,2.00,18.00,10.00,7.00,3.00,17.00,11.00,10.00,2.00,2.00,4.00,0.00,0.00
Nott'm Forest,Ipswich,2.00,2.00,0.00,1.00,19.00,10.00,5.00,5.00,8.00,15.00,8.00,4.00,1.00,0.00,0.00,0.00
Rotherham,Leeds,2.00,1.00,0.00,1.00,17.00,15.00,11.00,4.00,12.00,16.00,7.00,4.00,3.00,4.00,0.00,0.00
Birmingham,Bolton,0.00,1.00,0.00,1.00,15.00,11.00,5.00,3.00,12.00,16.00,7.00,5.00,1.00,1.00,1.00,0.00
Bournemouth,Charlton,1.00,0.00,1.00,0.00,20.00,7.00,5.00,3.00,9.00,18.00,16.00,4.00,1.00,3.00,0.00,0.00
Brighton,Middlesbrough,1.00,2.00,0.00,1.00,15.00,11.00,3.00,3.00,10.00,14.00,4.00,2.00,2.00,4.00,0.00,0.00
Cardiff,Nott'm Forest,2.00,1.00,2.00,0.00,12.00,10.00,5.00,5.00,8.00,14.00,4.00,7.00,1.00,3.00,0.00,0.00
Fulham,Norwich,1.00,0.00,1.00,0.00,9.00,10.00,3.00,1.00,15.00,7.00,6.00,10.00,2.00,0.00,0.00,0.00
Huddersfield,Blackpool,4.00,2.00,3.00,2.00,17.00,9.00,11.00,4.00,10.00,13.00,5.00,0.00,2.00,3.00,0.00,0.00
Ipswich,Blackburn,1.00,1.00,0.00,0.00,15.00,9.00,6.00,3.00,12.00,16.00,8.00,3.00,1.00,1.00,0.00,1.00
Millwall,Wolves,3.00,3.00,0.00,1.00,16.00,9.00,5.00,6.00,13.00,17.00,6.00,4.00,1.00,6.00,1.00,0.00
Reading,Derby,0.00,3.00,0.00,2.00,16.00,11.00,6.00,5.00,17.00,12.00,9.00,9.00,2.00,4.00,0.00,0.00
Sheffield Weds,Watford,0.00,3.00,0.00,2.00,16.00,9.00,4.00,6.00,13.00,7.00,8.00,1.00,1.00,2.00,0.00,0.00
Wigan,Brentford,0.00,0.00,0.00,0.00,8.00,12.00,3.00,4.00,8.00,15.00,9.00,7.00,2.00,5.00,0.00,0.00
Blackburn,Birmingham,1.00,0.00,0.00,0.00,27.00,18.00,9.00,5.00,12.00,10.00,2.00,2.00,2.00,0.00,0.00,1.00
Blackpool,Derby,0.00,1.00,0.00,0.00,13.00,13.00,4.00,6.00,19.00,12.00,9.00,10.00,3.00,1.00,0.00,0.00
Bournemouth,Reading,3.00,0.00,0.00,0.00,14.00,15.00,6.00,3.00,10.00,11.00,6.00,6.00,0.00,0.00,0.00,0.00
Brentford,Sheffield Weds,0.00,0.00,0.00,0.00,11.00,13.00,1.00,3.00,7.00,13.00,10.00,8.00,1.00,2.00,0.00,0.00
Cardiff,Ipswich,3.00,1.00,1.00,1.00,13.00,13.00,6.00,1.00,14.00,17.00,3.00,0.00,2.00,1.00,0.00,0.00
Charlton,Bolton,2.00,1.00,1.00,0.00,5.00,19.00,2.00,6.00,14.00,12.00,1.00,14.00,2.00,1.00,0.00,0.00
Huddersfield,Brighton,1.00,1.00,1.00,1.00,10.00,11.00,5.00,3.00,9.00,10.00,8.00,5.00,0.00,3.00,0.00,1.00
Norwich,Leeds,1.00,1.00,0.00,0.00,20.00,4.00,6.00,1.00,9.00,13.00,9.00,3.00,2.00,2.00,0.00,0.00
Rotherham,Fulham,3.00,3.00,1.00,1.00,17.00,15.00,4.00,9.00,10.00,15.00,4.00,5.00,0.00,1.00,0.00,0.00
Watford,Nott'm Forest,2.00,2.00,1.00,1.00,21.00,11.00,8.00,2.00,9.00,12.00,14.00,6.00,0.00,1.00,0.00,0.00
Wigan,Millwall,0.00,0.00,0.00,0.00,11.00,5.00,4.00,1.00,12.00,20.00,8.00,2.00,0.00,3.00,0.00,0.00
Wolves,Middlesbrough,2.00,0.00,1.00,0.00,17.00,15.00,5.00,6.00,13.00,15.00,4.00,4.00,2.00,1.00,0.00,0.00
Fulham,Charlton,3.00,0.00,2.00,0.00,15.00,23.00,6.00,3.00,3.00,9.00,2.00,13.00,0.00,0.00,0.00,0.00
Birmingham,Bournemouth,0.00,8.00,0.00,3.00,9.00,28.00,3.00,15.00,8.00,12.00,7.00,5.00,1.00,4.00,1.00,0.00
Bolton,Brentford,3.00,1.00,0.00,0.00,21.00,15.00,8.00,6.00,18.00,8.00,6.00,11.00,6.00,0.00,0.00,0.00
Brighton,Rotherham,1.00,1.00,1.00,0.00,19.00,16.00,3.00,7.00,12.00,9.00,12.00,5.00,1.00,2.00,0.00,0.00
Derby,Wigan,1.00,2.00,1.00,0.00,12.00,18.00,2.00,8.00,13.00,16.00,5.00,8.00,1.00,5.00,0.00,0.00
Ipswich,Huddersfield,2.00,2.00,1.00,0.00,11.00,15.00,4.00,5.00,16.00,10.00,7.00,3.00,3.00,0.00,0.00,0.00
Leeds,Wolves,1.00,2.00,1.00,0.00,13.00,18.00,3.00,9.00,10.00,11.00,4.00,5.00,0.00,1.00,0.00,0.00
Middlesbrough,Watford,1.00,1.00,0.00,0.00,16.00,17.00,3.00,3.00,17.00,7.00,4.00,9.00,4.00,1.00,0.00,0.00
Millwall,Cardiff,1.00,0.00,0.00,0.00,17.00,11.00,4.00,3.00,19.00,15.00,3.00,2.00,2.00,0.00,0.00,0.00
Nott'm Forest,Blackburn,1.00,3.00,1.00,0.00,15.00,15.00,3.00,5.00,7.00,9.00,3.00,10.00,0.00,2.00,0.00,0.00
Reading,Blackpool,3.00,0.00,1.00,0.00,16.00,9.00,5.00,3.00,18.00,12.00,7.00,4.00,2.00,2.00,0.00,0.00
Sheffield Weds,Norwich,0.00,0.00,0.00,0.00,7.00,9.00,1.00,5.00,17.00,16.00,3.00,10.00,4.00,3.00,0.00,0.00
Norwich,Bolton,2.00,1.00,1.00,0.00,19.00,8.00,6.00,2.00,12.00,10.00,11.00,4.00,1.00,2.00,0.00,0.00
Blackburn,Reading,3.00,1.00,1.00,1.00,17.00,12.00,5.00,3.00,10.00,16.00,1.00,5.00,2.00,3.00,0.00,0.00
Blackpool,Ipswich,0.00,2.00,0.00,1.00,13.00,13.00,3.00,2.00,9.00,10.00,2.00,3.00,0.00,1.00,0.00,0.00
Bournemouth,Brighton,3.00,2.00,2.00,1.00,13.00,10.00,3.00,3.00,14.00,15.00,9.00,4.00,3.00,5.00,0.00,0.00
Brentford,Derby,2.00,1.00,0.00,1.00,10.00,15.00,3.00,3.00,11.00,15.00,5.00,5.00,3.00,4.00,0.00,0.00
Cardiff,Leeds,3.00,1.00,0.00,0.00,12.00,10.00,4.00,4.00,8.00,11.00,6.00,1.00,2.00,3.00,0.00,0.00
Charlton,Sheffield Weds,1.00,1.00,0.00,1.00,19.00,12.00,4.00,4.00,9.00,8.00,11.00,7.00,0.00,0.00,0.00,0.00
Huddersfield,Nott'm Forest,3.00,0.00,2.00,0.00,10.00,24.00,5.00,8.00,13.00,11.00,4.00,5.00,1.00,2.00,0.00,0.00
